   AccrueTime=2025-10-15T13:34:10
   StartTime=2025-10-15T13:34:10 EndTime=2025-10-16T01:34:10 Deadline=N/A
   SuspendTime=None SecsPreSuspend=0 LastSchedEval=2025-10-15T13:34:10 Scheduler=Main
   Partition=dgxa100 AllocNode:Sid=0.0.0.0:1374826
   ReqNodeList=dgxa100-ncit-wn02 ExcNodeList=(null)
   NodeList=dgxa100-ncit-wn02
   BatchHost=dgxa100-ncit-wn02
   NumNodes=1 NumCPUs=1 NumTasks=1 CPUs/Task=1 ReqB:S:C:T=0:0:*:*
   ReqTRES=cpu=1,mem=40G,node=1,billing=1,gres/gpu=1
   AllocTRES=cpu=1,mem=40G,node=1,billing=1,gres/gpu=1
   Socks/Node=* NtasksPerN:B:S:C=0:0:*:* CoreSpec=*
   JOB_GRES=gpu:tesla_a100:1
     Nodes=dgxa100-ncit-wn02 CPU_IDs=239 Mem=40960 GRES=gpu:tesla_a100:1(IDX:2)
   MinCPUsNode=5 MinMemoryNode=40G MinTmpDiskNode=0
   Features=(null) DelayBoot=00:00:00
   OverSubscribe=YES Contiguous=0 Licenses=(null) Network=(null)
   Command=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/run_model_job.sh
   WorkDir=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp
   StdErr=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/logs/compression/218937/compression.err
   StdIn=/dev/null
   StdOut=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/logs/compression/218937/compression.out
   TresPerNode=gres/gpu:tesla_a100:1
   

-- ps (uvicorn srun) --
    PID    PPID    PGID     ELAPSED STAT CMD
1557738 1557707 1557707       06:42 Sl   srun --ntasks=1 --cpu-bind=none --gres=gpu:1 --gpu-bind=single:1 bash -lc PYTHONUNBUFFERED=1 uvicorn http_model_server:app --host 0.0.0.0 --port 23991 --log-level info
-- autossh tail --
[2025-10-15 13:40:53+0300] ========== END DIAGNOSTICS ==========
